Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Positivos,Firefox 133.0,,,27-11-2024 12:52:44,27-11-2024 13:39:35,"46m - 50,642s",FAILED
,,,,,,,
Test Cases/2.Positivos/2.1Paquete/Origen-Provincia/Validar resumen ---,Firefox 133.0,,,27-11-2024 12:52:45,27-11-2024 12:54:16,"1m - 31,509s",PASSED
"callTestCase(findTestCase(""1.Inicio/1.1Principal/Principal-home""), [:], STOP_ON_FAILURE)",Firefox 133.0,,,27-11-2024 12:52:46,27-11-2024 12:52:58,"12,434s",PASSED
"callTestCase(findTestCase(""1.Inicio/1.1Principal/Selec_paquete""), [:], STOP_ON_FAILURE)",Firefox 133.0,,,27-11-2024 12:52:58,27-11-2024 12:53:06,"7,921s",PASSED
"callTestCase(findTestCase(""1.Inicio/1.2Tipo_Doc/5.RUC20""), [:], STOP_ON_FAILURE)",Firefox 133.0,,,27-11-2024 12:53:06,27-11-2024 12:53:08,"1,801s",PASSED
"click(findTestObject(""Object Repository/Principal/Page_Olva Courier  Datos Personales/button_Seleccionar artculo""))",Firefox 133.0,,,27-11-2024 12:53:08,27-11-2024 12:53:23,"15,170s",PASSED
"click(findTestObject(""Object Repository/Principal/Page_Olva Courier  Datos Personales/a_CAJA""))",Firefox 133.0,,,27-11-2024 12:53:23,27-11-2024 12:53:24,"0,501s",PASSED
"setText(findTestObject(""Object Repository/Principal/Page_Olva Courier  Datos Personales/input_UTILES DE OFICINA_txt_paquete_articulo""), ""FGDg"")",Firefox 133.0,,,27-11-2024 12:53:24,27-11-2024 12:53:24,"0,509s",PASSED
"setText(findTestObject(""Object Repository/Principal/Page_Olva Courier  Datos Personales/input_UTILES DE OFICINA_txt_paquete_valor""), ""50"")",Firefox 133.0,,,27-11-2024 12:53:24,27-11-2024 12:53:25,"0,514s",PASSED
"click(findTestObject(""Object Repository/Principal/Page_Olva Courier  Datos Personales/div_Hasta 2Kg""))",Firefox 133.0,,,27-11-2024 12:53:25,27-11-2024 12:53:25,"0,673s",PASSED
"scrollToElement(findTestObject(""Object Repository/Destinos/Page_Olva Courier  Datos Personales/button_LIMA (1)""), 0)",Firefox 133.0,,,27-11-2024 12:53:25,27-11-2024 12:53:26,"0,582s",PASSED
"click(findTestObject(""Object Repository/Destinos/Page_Olva Courier  Datos Personales/button_LIMA (1)""))",Firefox 133.0,,,27-11-2024 12:53:26,27-11-2024 12:53:27,"0,670s",PASSED
"click(findTestObject(""Object Repository/Destinos/Page_Olva Courier  Datos Personales/a_ICA""))",Firefox 133.0,,,27-11-2024 12:53:27,27-11-2024 12:53:27,"0,462s",PASSED
"click(findTestObject(""Object Repository/Destinos/Page_Olva Courier  Datos Personales/button_ICA""))",Firefox 133.0,,,27-11-2024 12:53:27,27-11-2024 12:53:27,"0,471s",PASSED
"click(findTestObject(""Object Repository/Principal/Page_Olva Courier  Datos Personales/button_Ingrese el punto de llegada""))",Firefox 133.0,,,27-11-2024 12:53:27,27-11-2024 12:53:28,"0,664s",PASSED
"click(findTestObject(""Object Repository/Principal/Page_Olva Courier  Datos Personales/a_AMAZONAS - BAGUA - COPALLIN""))",Firefox 133.0,,,27-11-2024 12:53:28,27-11-2024 12:53:32,"3,846s",PASSED
"scrollToElement(findTestObject(""Object Repository/Principal/Page_Olva Courier  Datos Personales/button_Tipo De Documento_1""), 0)",Firefox 133.0,,,27-11-2024 12:53:32,27-11-2024 12:53:32,"0,237s",PASSED
"click(findTestObject(""Object Repository/Principal/Page_Olva Courier  Datos Personales/button_Tipo De Documento_1""))",Firefox 133.0,,,27-11-2024 12:53:32,27-11-2024 12:53:33,"0,448s",PASSED
"click(findTestObject(""Object Repository/Principal/Page_Olva Courier  Datos Personales/a_RUC""))",Firefox 133.0,,,27-11-2024 12:53:33,27-11-2024 12:53:33,"0,457s",PASSED
"setText(findTestObject(""Object Repository/Principal/Page_Olva Courier  Datos Personales/input_CARN EXT_txt_consignado_dni""), ""20100686814"")",Firefox 133.0,,,27-11-2024 12:53:33,27-11-2024 12:53:34,"0,538s",PASSED
"click(findTestObject(""Object Repository/Principal/Page_Olva Courier  Datos Personales/button_CONTINUAR""))",Firefox 133.0,,,27-11-2024 12:53:34,27-11-2024 12:53:41,"7,657s",PASSED
"verifyElementText(findTestObject(""Object Repository/Principal/Page_Olva Courier  Confirma tus datos/th_---""), ""---"")",Firefox 133.0,,,27-11-2024 12:53:41,27-11-2024 12:53:50,"8,989s",PASSED
"click(findTestObject(""Object Repository/Principal/Page_Olva Courier  Confirma tus datos/button_IR A PAGAR S 18.60""))",Firefox 133.0,,,27-11-2024 12:53:50,27-11-2024 12:53:51,"0,459s",PASSED
"verifyElementPresent(findTestObject(""Object Repository/Principal/Page_Olva Courier  Medios de pago/button_PAGAR""), 0)",Firefox 133.0,,,27-11-2024 12:53:51,27-11-2024 12:54:12,"21,114s",PASSED
"callTestCase(findTestCase(""1.Inicio/1.3Pago_POS/Pago-exitoso""), [:], STOP_ON_FAILURE)",Firefox 133.0,,,27-11-2024 12:54:12,27-11-2024 12:54:16,"4,516s",PASSED
,,,,,,,
Test Cases/2.Positivos/2.1Paquete/Origen-Provincia/Editar_Eliminar-Envios,Firefox 133.0,,,27-11-2024 12:54:16,27-11-2024 12:56:06,"1m - 49,963s",FAILED
"callTestCase(findTestCase(""1.Inicio/1.1Principal/Principal-home""), [:], STOP_ON_FAILURE)",Firefox 133.0,,,27-11-2024 12:54:17,27-11-2024 12:54:25,"8,133s",PASSED
"callTestCase(findTestCase(""1.Inicio/1.1Principal/Selec_paquete""), [:], STOP_ON_FAILURE)",Firefox 133.0,,,27-11-2024 12:54:25,27-11-2024 12:54:31,"6,458s",PASSED
"callTestCase(findTestCase(""1.Inicio/1.2Tipo_Doc/3.CE""), [:], STOP_ON_FAILURE)",Firefox 133.0,,,27-11-2024 12:54:31,27-11-2024 12:54:33,"1,649s",PASSED
"click(findTestObject(""Object Repository/Positivos/Page_Olva Courier  Datos Personales/span_Seleccionar artculo""))",Firefox 133.0,,,27-11-2024 12:54:33,27-11-2024 12:54:43,"10,669s",PASSED
"click(findTestObject(""Object Repository/Positivos/Page_Olva Courier  Datos Personales/span_ACCESORIOS Y EQUIPOS ELECTRONICOS""))",Firefox 133.0,,,27-11-2024 12:54:43,27-11-2024 12:54:44,"0,457s",PASSED
"setText(findTestObject(""Object Repository/Positivos/Page_Olva Courier  Datos Personales/input_UTILES DE OFICINA_txt_paquete_articulo""), ""PRUEBAs"")",Firefox 133.0,,,27-11-2024 12:54:44,27-11-2024 12:54:44,"0,475s",PASSED
"setText(findTestObject(""Object Repository/Positivos/Page_Olva Courier  Datos Personales/input_UTILES DE OFICINA_txt_paquete_valor""), ""20"")",Firefox 133.0,,,27-11-2024 12:54:44,27-11-2024 12:54:45,"0,476s",PASSED
"click(findTestObject(""Object Repository/Positivos/Page_Olva Courier  Datos Personales/b_1Kg""))",Firefox 133.0,,,27-11-2024 12:54:45,27-11-2024 12:54:45,"0,677s",PASSED
"scrollToElement(findTestObject(""Object Repository/Destinos/Page_Olva Courier  Datos Personales/button_LIMA (1)""), 0)",Firefox 133.0,,,27-11-2024 12:54:45,27-11-2024 12:54:46,"0,550s",PASSED
"click(findTestObject(""Object Repository/Destinos/Page_Olva Courier  Datos Personales/button_LIMA (1)""))",Firefox 133.0,,,27-11-2024 12:54:46,27-11-2024 12:54:47,"0,680s",PASSED
"click(findTestObject(""Object Repository/Destinos/Page_Olva Courier  Datos Personales/a_ICA""))",Firefox 133.0,,,27-11-2024 12:54:47,27-11-2024 12:54:47,"0,453s",PASSED
"click(findTestObject(""Object Repository/Destinos/Page_Olva Courier  Datos Personales/button_ICA""))",Firefox 133.0,,,27-11-2024 12:54:47,27-11-2024 12:54:48,"0,498s",PASSED
"scrollToElement(findTestObject(""Object Repository/Positivos/Page_Olva Courier  Datos Personales/span_Ingrese el punto de llegada""), 0)",Firefox 133.0,,,27-11-2024 12:54:48,27-11-2024 12:54:48,"0,248s",PASSED
"click(findTestObject(""Object Repository/Positivos/Page_Olva Courier  Datos Personales/span_Ingrese el punto de llegada""))",Firefox 133.0,,,27-11-2024 12:54:48,27-11-2024 12:54:49,"0,726s",PASSED
"click(findTestObject(""Object Repository/Positivos/Page_Olva Courier  Datos Personales/span_AMAZONAS - BAGUA - BAGUA""))",Firefox 133.0,,,27-11-2024 12:54:49,27-11-2024 12:54:49,"0,604s",PASSED
"click(findTestObject(""Object Repository/Positivos/Page_Olva Courier  Datos Personales/span_Tipo de entrega""))",Firefox 133.0,,,27-11-2024 12:54:49,27-11-2024 12:54:50,"0,496s",PASSED
"click(findTestObject(""Object Repository/Positivos/Page_Olva Courier  Datos Personales/a_Recojo en tienda""))",Firefox 133.0,,,27-11-2024 12:54:50,27-11-2024 12:54:50,"0,480s",PASSED
"click(findTestObject(""Object Repository/Positivos/Page_Olva Courier  Datos Personales/span_Tienda""))",Firefox 133.0,,,27-11-2024 12:54:50,27-11-2024 12:54:54,"3,417s",PASSED
"click(findTestObject(""Object Repository/Positivos/Page_Olva Courier  Datos Personales/span_BAGUA CHICA - BAGUA - PJ ALFONSO UGART_d3a165""))",Firefox 133.0,,,27-11-2024 12:54:54,27-11-2024 12:54:54,"0,482s",PASSED
"click(findTestObject(""Object Repository/Positivos/Page_Olva Courier  Datos Personales/span_Tipo De Documento_1""))",Firefox 133.0,,,27-11-2024 12:54:54,27-11-2024 12:54:55,"0,465s",PASSED
"click(findTestObject(""Object Repository/Positivos/Page_Olva Courier  Datos Personales/a_DNI""))",Firefox 133.0,,,27-11-2024 12:54:55,27-11-2024 12:54:55,"0,454s",PASSED
"setText(findTestObject(""Object Repository/Positivos/Page_Olva Courier  Datos Personales/input_CARN EXT_txt_consignado_dni""), ""71735785"")",Firefox 133.0,,,27-11-2024 12:54:55,27-11-2024 12:54:56,"0,505s",PASSED
"verifyElementPresent(findTestObject(""Object Repository/Positivos/Page_Olva Courier  Datos Personales/span_RIOS""), 0)",Firefox 133.0,,,27-11-2024 12:54:56,27-11-2024 12:54:58,"2,761s",PASSED
"verifyElementPresent(findTestObject(""Object Repository/Positivos/Page_Olva Courier  Datos Personales/div_RIOS""), 0)",Firefox 133.0,,,27-11-2024 12:54:58,27-11-2024 12:54:59,"0,227s",PASSED
"scrollToElement(findTestObject(""Object Repository/Positivos/Page_Olva Courier  Datos Personales/button_CONTINUAR""), 0)",Firefox 133.0,,,27-11-2024 12:54:59,27-11-2024 12:54:59,"0,238s",PASSED
"click(findTestObject(""Object Repository/Positivos/Page_Olva Courier  Datos Personales/button_CONTINUAR""))",Firefox 133.0,,,27-11-2024 12:54:59,27-11-2024 12:54:59,"0,467s",PASSED
"click(findTestObject(""Object Repository/Positivos/Page_Olva Courier  Confirma tus datos/a_AGREGAR ENVOS""))",Firefox 133.0,,,27-11-2024 12:54:59,27-11-2024 12:55:09,"9,296s",PASSED
"click(findTestObject(""Object Repository/Positivos/Page_Olva Courier  Home/img_Envo de cajas o paquetescon un peso mxi_37770f""))",Firefox 133.0,,,27-11-2024 12:55:09,27-11-2024 12:55:09,"0,650s",PASSED
"click(findTestObject(""Object Repository/Positivos/Page_Olva Courier  Home/button_CONTINUAR""))",Firefox 133.0,,,27-11-2024 12:55:09,27-11-2024 12:55:13,"3,472s",PASSED
"setText(findTestObject(""Object Repository/Positivos/Page_Olva Courier  Datos Personales/input_Qu Envas_input_descripcion""), ""FDFd"")",Firefox 133.0,,,27-11-2024 12:55:13,27-11-2024 12:55:18,"5,561s",PASSED
"setText(findTestObject(""Object Repository/Positivos/Page_Olva Courier  Datos Personales/input_Qu Envas_input_valor""), ""20"")",Firefox 133.0,,,27-11-2024 12:55:18,27-11-2024 12:55:19,"0,482s",PASSED
"scrollToElement(findTestObject(""Object Repository/Positivos/Page_Olva Courier  Datos Personales/button_Ingrese el punto de llegada""), 0)",Firefox 133.0,,,27-11-2024 12:55:19,27-11-2024 12:55:19,"0,437s",PASSED
"click(findTestObject(""Object Repository/Positivos/Page_Olva Courier  Datos Personales/button_Ingrese el punto de llegada""))",Firefox 133.0,,,27-11-2024 12:55:19,27-11-2024 12:55:20,"0,561s",PASSED
"click(findTestObject(""Object Repository/Positivos/Page_Olva Courier  Datos Personales/span_AMAZONAS - BAGUA - EL PARCO""))",Firefox 133.0,,,27-11-2024 12:55:20,27-11-2024 12:55:22,"2,750s",PASSED
"click(findTestObject(""Object Repository/Positivos/Page_Olva Courier  Datos Personales/span_Tipo De Documento_1""))",Firefox 133.0,,,27-11-2024 12:55:22,27-11-2024 12:55:23,"0,705s",PASSED
"click(findTestObject(""Object Repository/Positivos/Page_Olva Courier  Datos Personales/a_DNI""))",Firefox 133.0,,,27-11-2024 12:55:23,27-11-2024 12:55:24,"0,703s",PASSED
"setText(findTestObject(""Object Repository/Positivos/Page_Olva Courier  Datos Personales/input_CARN EXT_txt_consignado_dni""), ""71735785"")",Firefox 133.0,,,27-11-2024 12:55:24,27-11-2024 12:55:25,"0,880s",PASSED
"scrollToElement(findTestObject(""Object Repository/Positivos/Page_Olva Courier  Datos Personales/button_CONTINUAR""), 0)",Firefox 133.0,,,27-11-2024 12:55:25,27-11-2024 12:55:30,"4,888s",PASSED
"click(findTestObject(""Object Repository/Positivos/Page_Olva Courier  Datos Personales/button_CONTINUAR""))",Firefox 133.0,,,27-11-2024 12:55:30,27-11-2024 12:55:30,"0,458s",PASSED
"click(findTestObject(""Object Repository/Positivos/Page_Olva Courier  Confirma tus datos/button_Editar""))",Firefox 133.0,,,27-11-2024 12:55:30,27-11-2024 12:55:42,"12,297s",PASSED
"setText(findTestObject(""Object Repository/Positivos/Page_Olva Courier  Datos Personales/input_UTILES DE OFICINA_txt_paquete_articulo""), ""PRUE"")",Firefox 133.0,,,27-11-2024 12:55:42,27-11-2024 12:55:43,"0,928s",PASSED
"click(findTestObject(""Object Repository/Positivos/Page_Olva Courier  Datos Personales/input_UTILES DE OFICINA_txt_paquete_articulo""))",Firefox 133.0,,,27-11-2024 12:55:43,27-11-2024 12:55:44,"0,442s",PASSED
"setText(findTestObject(""Object Repository/Positivos/Page_Olva Courier  Datos Personales/input_UTILES DE OFICINA_txt_paquete_valor""), ""100"")",Firefox 133.0,,,27-11-2024 12:55:44,27-11-2024 12:55:45,"1,087s",PASSED
"click(findTestObject(""Object Repository/Positivos/Page_Olva Courier  Datos Personales/div_Hasta 2Kg""))",Firefox 133.0,,,27-11-2024 12:55:45,27-11-2024 12:55:46,"0,947s",PASSED
"scrollToElement(findTestObject(""Object Repository/Positivos/Page_Olva Courier  Datos Personales/span_Recojo en tienda""), 0)",Firefox 133.0,,,27-11-2024 12:55:46,27-11-2024 12:55:46,"0,532s",PASSED
