Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Empaques,Firefox 133.0,,,27-11-2024 23:20:50,27-11-2024 23:25:30,"4m - 39,486s",ERROR
,,,,,,,
Test Cases/5.Empaques/4.Positivas/Comprar Empaques - Agregar,Firefox 133.0,,,27-11-2024 23:20:50,27-11-2024 23:22:59,"2m - 8,454s",FAILED
"callTestCase(findTestCase(""5.Empaques/1.Inicio-Empaques/Inicio-cajas""), [:], STOP_ON_FAILURE)",Firefox 133.0,,,27-11-2024 23:20:51,27-11-2024 23:21:10,"18,960s",PASSED
"click(findTestObject(""Object Repository/Comprar Empaques/Page_Olva Courier  Confirma tus datos/img_Envo de documentoscon un peso mximo de__8aba39""))",Firefox 133.0,,,27-11-2024 23:21:10,27-11-2024 23:21:11,"0,887s",PASSED
"click(findTestObject(""Object Repository/Comprar Empaques/Page_Olva Courier  Confirma tus datos/span_He ledo y acepto los_checkmark""))",Firefox 133.0,,,27-11-2024 23:21:11,27-11-2024 23:21:11,"0,541s",PASSED
"scrollToElement(findTestObject(""Object Repository/Comprar Empaques/Page_Olva Courier  Confirma tus datos/button_CONTINUAR""), 0)",Firefox 133.0,,,27-11-2024 23:21:11,27-11-2024 23:21:12,"0,359s",PASSED
"click(findTestObject(""Object Repository/Comprar Empaques/Page_Olva Courier  Confirma tus datos/button_CONTINUAR""))",Firefox 133.0,,,27-11-2024 23:21:12,27-11-2024 23:21:13,"1,735s",PASSED
"click(findTestObject(""Object Repository/Comprar Empaques/Page_Olva Courier  Datos Personales/span_Tipo De Documento""))",Firefox 133.0,,,27-11-2024 23:21:13,27-11-2024 23:21:14,"1,003s",PASSED
"click(findTestObject(""Object Repository/Comprar Empaques/Page_Olva Courier  Datos Personales/a_RUC""))",Firefox 133.0,,,27-11-2024 23:21:14,27-11-2024 23:21:15,"0,688s",PASSED
"setText(findTestObject(""Object Repository/Comprar Empaques/Page_Olva Courier  Datos Personales/input_CARN EXT_txt_documento_cliente""), ""10066810581"")",Firefox 133.0,,,27-11-2024 23:21:15,27-11-2024 23:21:16,"0,877s",PASSED
"setText(findTestObject(""Object Repository/Comprar Empaques/Page_Olva Courier  Datos Personales/input_CARN EXT_txt_telefono_cliente""), ""900000001"")",Firefox 133.0,,,27-11-2024 23:21:16,27-11-2024 23:21:18,"1,989s",PASSED
"click(findTestObject(""Object Repository/Comprar Empaques/Page_Olva Courier  Datos Personales/div_Hola,""))",Firefox 133.0,,,27-11-2024 23:21:18,27-11-2024 23:21:19,"0,651s",PASSED
"scrollToElement(findTestObject(""Object Repository/Comprar Empaques/Page_Olva Courier  Datos Personales/button_CONTINUAR""), 0)",Firefox 133.0,,,27-11-2024 23:21:19,27-11-2024 23:21:19,"0,310s",PASSED
"click(findTestObject(""Object Repository/Comprar Empaques/Page_Olva Courier  Datos Personales/button_CONTINUAR""))",Firefox 133.0,,,27-11-2024 23:21:19,27-11-2024 23:21:21,"2,471s",PASSED
"scrollToPosition(0, 400)",Firefox 133.0,,,27-11-2024 23:21:21,27-11-2024 23:21:22,"0,097s",PASSED
"click(findTestObject(""Object Repository/EMPAQUE 1""))",Firefox 133.0,,,27-11-2024 23:21:22,27-11-2024 23:21:22,"0,531s",PASSED
"click(findTestObject(""Object Repository/EMPAQUE 2""))",Firefox 133.0,,,27-11-2024 23:21:22,27-11-2024 23:21:23,"0,697s",PASSED
"click(findTestObject(""Object Repository/EMPAQUE 3""))",Firefox 133.0,,,27-11-2024 23:21:23,27-11-2024 23:21:23,"0,469s",PASSED
"scrollToElement(findTestObject(""Object Repository/EMPAQUE 4""), 0)",Firefox 133.0,,,27-11-2024 23:21:23,27-11-2024 23:21:23,"0,251s",PASSED
